imdb_id,title,Comment
tt1222815,Chimpanzee,movie was fetched and saved,already exists in database
tt1661382,Grudge Match,movie was fetched and saved,already exists in database
tt1075747,Jonah Hex,movie was fetched and saved,already exists in database
tt0266543,Finding Nemo,movie was fetched and saved,already exists in database
tt0482571,The Prestige,movie was fetched and saved,already exists in database
tt0386117,Where the Wild Things Are,movie was fetched and saved,already exists in database
tt1201607,Harry Potter and the Deathly Hallows: Part 2,movie was fetched and saved,already exists in database
tt0411061,88 Minutes,movie was fetched and saved,already exists in database
tt0206314,Joy Ride,movie was fetched and saved,already exists in database
tt1074638,Skyfall,movie was fetched and saved,already exists in database
tt3014284,The Lego Ninjago Movie,movie was fetched and saved,already exists in database
tt2203939,The Other Woman,movie was fetched and saved,already exists in database
tt0465234,National Treasure: Book of Secrets,movie was fetched and saved,already exists in database
tt0780653,The Wolfman,movie was fetched and saved,already exists in database
tt0172156,Bad Boys II,movie was fetched and saved,already exists in database
tt3696180,The Forgiven,movie was fetched and saved,already exists in database
tt5104604,Isle of Dogs,movie was fetched and saved,already exists in database
tt1055369,Transformers: Revenge of the Fallen,movie was fetched and saved,already exists in database
tt1704292,Battlestar Galactica: Blood & Chrome,movie was fetched and saved,already exists in database
tt1810683,Little Boy,movie was fetched and saved,already exists in database
tt1675192,Take Shelter,movie was fetched and saved,already exists in database
tt0834001,Underworld: Rise of the Lycans,movie was fetched and saved,already exists in database
tt1905041,Fast & Furious 6,movie was fetched and saved,already exists in database
tt0481369,The Number 23,movie was fetched and saved,already exists in database
tt2429074,G.B.F.,movie was fetched and saved,already exists in database
tt1703958,Ek Main Aur Ekk Tu,movie was fetched and saved,already exists in database
tt1294226,The Last Song,movie was fetched and saved,already exists in database
tt5962210,Ingrid Goes West,movie was fetched and saved,already exists in database
tt0455824,Australia,movie was fetched and saved,already exists in database
tt3986820,The Endless,movie was fetched and saved,already exists in database
tt6495770,Action Point,movie was fetched and saved,already exists in database
tt3011960,Hangman,movie was fetched and saved,already exists in database
tt2193215,The Counselor,movie was fetched and saved,already exists in database
tt0175142,Scary Movie,movie was fetched and saved,already exists in database
tt3262342,Loving Vincent,movie was fetched and saved,already exists in database
tt0203119,Sexy Beast,movie was fetched and saved,already exists in database
tt0469494,There Will Be Blood,movie was fetched and saved,already exists in database
tt1758795,The To Do List,movie was fetched and saved,already exists in database
tt1247640,District 13: Ultimatum,movie was fetched and saved,already exists in database
tt0094612,Action Jackson,movie was fetched and saved,already exists in database
tt1083456,Fired Up!,movie was fetched and saved,already exists in database
tt2720680,The Salvation,movie was fetched and saved,already exists in database
tt0292506,The Recruit,movie was fetched and saved,already exists in database
tt0268380,Ice Age,movie was fetched and saved,already exists in database
tt7784604,Hereditary,movie was fetched and saved,already exists in database
tt0416236,The Spiderwick Chronicles,movie was fetched and saved,already exists in database
tt0181865,Traffic,movie was fetched and saved,already exists in database
tt2725962,What We Did on Our Holiday,movie was fetched and saved,already exists in database
tt1606378,A Good Day to Die Hard,movie was fetched and saved,already exists in database
tt0452598,Cheaper by the Dozen 2,movie was fetched and saved,already exists in database
tt0814314,Seven Pounds,movie was fetched and saved,already exists in database
tt1545754,Are You Here,movie was fetched and saved,already exists in database
tt0120784,Payback,movie was fetched and saved,already exists in database
tt2345737,The Rover,movie was fetched and saved,already exists in database
tt0454848,Inside Man,movie was fetched and saved,already exists in database
tt0790636,Dallas Buyers Club,movie was fetched and saved,already exists in database
tt1605783,Midnight in Paris,movie was fetched and saved,already exists in database
tt1371150,This Is Where I Leave You,movie was fetched and saved,already exists in database
tt1477837,Cedar Rapids,movie was fetched and saved,already exists in database
tt0318649,Sahara,movie was fetched and saved,already exists in database
tt1029231,Krrish 3,movie was fetched and saved,already exists in database
tt4005402,Colonia,movie was fetched and saved,already exists in database
tt1742044,Jersey Boys,movie was fetched and saved,already exists in database
tt2873282,Red Sparrow,movie was fetched and saved,already exists in database
